graph,L,N,K,beta,k,rep,seed,max_mcs,censored,Text_attempts,Text_mcs,extinct
lattice2D,3,9,4,0.000000,0.000000,0,11936128518282552424,2,1,18,2.000000,NA
lattice2D,3,9,4,0.000000,0.000000,1,11936128519597976335,2,1,18,2.000000,NA
lattice2D,3,9,4,0.000000,0.000000,2,11936128520913400246,2,1,18,2.000000,NA
