graph,L,N,K,beta,k,rep,seed,max_mcs,censored,Text_attempts,Text_mcs,extinct
lattice2D,3,9,4,0.000000,1.000000,0,11936128518282646940,5000,0,37,4.111111,S
lattice2D,3,9,4,0.000000,1.000000,1,11936128519598070851,5000,0,9,1.000000,P
lattice2D,3,9,4,0.000000,1.000000,2,11936128520913494762,5000,0,6,0.666667,P
lattice2D,3,9,4,0.000000,1.000000,0,11936128518282646940,5000,0,37,4.111111,S
lattice2D,3,9,4,0.000000,1.000000,1,11936128519598070851,5000,0,9,1.000000,P
